n,side,csv,png
170,15.281701702935232,out_alt\submission_n170.csv,out_alt\plot_n170.png
171,15.319892668804233,out_alt\submission_n171.csv,out_alt\plot_n171.png
172,15.295662029181914,out_alt\submission_n172.csv,out_alt\plot_n172.png
173,15.371815862520588,out_alt\submission_n173.csv,out_alt\plot_n173.png
174,15.293961605723904,out_alt\submission_n174.csv,out_alt\plot_n174.png
175,15.325370631103386,out_alt\submission_n175.csv,out_alt\plot_n175.png
176,15.310372920893963,out_alt\submission_n176.csv,out_alt\plot_n176.png
177,15.370920232089814,out_alt\submission_n177.csv,out_alt\plot_n177.png
178,15.347826350491994,out_alt\submission_n178.csv,out_alt\plot_n178.png
179,15.349589512781835,out_alt\submission_n179.csv,out_alt\plot_n179.png
180,15.363009665973667,out_alt\submission_n180.csv,out_alt\plot_n180.png
181,15.371161829148935,out_alt\submission_n181.csv,out_alt\plot_n181.png
182,15.333547983370924,out_alt\submission_n182.csv,out_alt\plot_n182.png
183,15.571890036037033,out_alt\submission_n183.csv,out_alt\plot_n183.png
184,15.57167585692099,out_alt\submission_n184.csv,out_alt\plot_n184.png
185,15.576926870233187,out_alt\submission_n185.csv,out_alt\plot_n185.png
186,15.583124555873079,out_alt\submission_n186.csv,out_alt\plot_n186.png
187,15.571831807749776,out_alt\submission_n187.csv,out_alt\plot_n187.png
188,15.591829542072517,out_alt\submission_n188.csv,out_alt\plot_n188.png
189,15.577940752387628,out_alt\submission_n189.csv,out_alt\plot_n189.png
190,15.581289226346405,out_alt\submission_n190.csv,out_alt\plot_n190.png
191,15.59874611670468,out_alt\submission_n191.csv,out_alt\plot_n191.png
192,15.592488274311936,out_alt\submission_n192.csv,out_alt\plot_n192.png
193,15.566140524834555,out_alt\submission_n193.csv,out_alt\plot_n193.png
194,15.581971640787332,out_alt\submission_n194.csv,out_alt\plot_n194.png
195,15.599917066534962,out_alt\submission_n195.csv,out_alt\plot_n195.png
196,15.599290106475657,out_alt\submission_n196.csv,out_alt\plot_n196.png
197,16.39502452496341,out_alt\submission_n197.csv,out_alt\plot_n197.png
198,16.42013043058987,out_alt\submission_n198.csv,out_alt\plot_n198.png
199,16.4197716002406,out_alt\submission_n199.csv,out_alt\plot_n199.png
200,16.404363554378126,out_alt\submission_n200.csv,out_alt\plot_n200.png
